name,intelligence
ai2/molmo-7b-d,3.8
ai2/molmo2-8b,2.0
ai2/olmo-2-32b,5.0
ai2/olmo-2-7b,3.9
ai2/olmo-3-1-32b-instruct,6.5
ai2/olmo-3-1-32b-think,8.1
ai2/olmo-3-32b-think,6.4
ai2/olmo-3-7b-instruct,2.8
ai2/olmo-3-7b-think,4.0
ai2/tulu3-405b,8.3
ai21-labs/jamba-1-5-large,5.1
ai21-labs/jamba-1-5-mini,2.7
ai21-labs/jamba-1-6-large,5.0
ai21-labs/jamba-1-6-mini,2.6
ai21-labs/jamba-1-7-large,5.3
ai21-labs/jamba-1-7-mini,2.7
ai21-labs/jamba-reasoning-3b,4.1
alibaba/QwQ-32B-Preview,9.2
alibaba/qwen-2-5-max,10.2
alibaba/qwen-chat-14b,2.1
alibaba/qwen-chat-72b,3.4
alibaba/qwen-turbo,6.3
alibaba/qwen1.5-110b-chat,4.1
alibaba/qwen2-5-72b-instruct,9.6
alibaba/qwen2-5-coder-32b-instruct,7.1
alibaba/qwen2-5-coder-7b-instruct,4.5
alibaba/qwen2-72b-instruct,6.0
alibaba/qwen2.5-32b-instruct,7.5
alibaba/qwen3-0.6b-instruct,1.0
alibaba/qwen3-0.6b-instruct-reasoning,1.3
alibaba/qwen3-1.7b-instruct,1.5
alibaba/qwen3-1.7b-instruct-reasoning,2.6
alibaba/qwen3-14b-instruct,7.0
alibaba/qwen3-14b-instruct-reasoning,10.4
alibaba/qwen3-235b-a22b-instruct,10.9
alibaba/qwen3-235b-a22b-instruct-2507,18.2
alibaba/qwen3-235b-a22b-instruct-2507-reasoning,19.6
alibaba/qwen3-235b-a22b-instruct-reasoning,13.4
alibaba/qwen3-30b-a3b-2507,9.1
alibaba/qwen3-30b-a3b-2507-reasoning,14.4
alibaba/qwen3-30b-a3b-instruct,6.8
alibaba/qwen3-30b-a3b-instruct-reasoning,9.3
alibaba/qwen3-32b-instruct,8.6
alibaba/qwen3-32b-instruct-reasoning,11.5
alibaba/qwen3-4b-2507-instruct,7.1
alibaba/qwen3-4b-2507-instruct-reasoning,12.0
alibaba/qwen3-4b-instruct,6.8
alibaba/qwen3-4b-instruct-reasoning,8.4
alibaba/qwen3-5-0-8b,5.5
alibaba/qwen3-5-0-8b-non-reasoning,4.4
alibaba/qwen3-5-122b-a10b,32.3
alibaba/qwen3-5-122b-a10b-non-reasoning,28.1
alibaba/qwen3-5-27b,33.8
alibaba/qwen3-5-27b-non-reasoning,29.3
alibaba/qwen3-5-2b,7.6
alibaba/qwen3-5-2b-non-reasoning,5.6
alibaba/qwen3-5-35b-a3b,29.3
alibaba/qwen3-5-35b-a3b-non-reasoning,23.4
alibaba/qwen3-5-397b-a17b,33.7
alibaba/qwen3-5-397b-a17b-non-reasoning,32.0
alibaba/qwen3-5-4b,20.1
alibaba/qwen3-5-4b-non-reasoning,16.0
alibaba/qwen3-5-9b,21.4
alibaba/qwen3-5-9b-non-reasoning,20.3
alibaba/qwen3-5-omni-flash,19.0
alibaba/qwen3-5-omni-plus,30.6
alibaba/qwen3-6-27b,37.1
alibaba/qwen3-6-27b-non-reasoning,30.5
alibaba/qwen3-6-35b-a3b,31.6
alibaba/qwen3-6-35b-a3b-non-reasoning,24.2
alibaba/qwen3-6-max,40.0
alibaba/qwen3-6-plus,39.6
alibaba/qwen3-7-max,46.0
alibaba/qwen3-7-plus,39.0
alibaba/qwen3-8b-instruct,5.1
alibaba/qwen3-8b-instruct-reasoning,8.3
alibaba/qwen3-coder-30b-a3b-instruct,13.6
alibaba/qwen3-coder-480b-a35b-instruct,18.0
alibaba/qwen3-coder-next,21.1
alibaba/qwen3-max,24.0
alibaba/qwen3-max-preview,19.2
alibaba/qwen3-max-thinking,31.7
alibaba/qwen3-max-thinking-preview,25.0
alibaba/qwen3-next-80b-a3b-instruct,13.7
alibaba/qwen3-next-80b-a3b-reasoning,16.7
alibaba/qwen3-omni-30b-a3b-instruct,5.1
alibaba/qwen3-omni-30b-a3b-reasoning,9.6
alibaba/qwen3-vl-235b-a22b-instruct,14.3
alibaba/qwen3-vl-235b-a22b-reasoning,20.6
alibaba/qwen3-vl-30b-a3b-instruct,10.0
alibaba/qwen3-vl-30b-a3b-reasoning,13.3
alibaba/qwen3-vl-32b-instruct,11.1
alibaba/qwen3-vl-32b-reasoning,17.9
alibaba/qwen3-vl-4b-instruct,4.1
alibaba/qwen3-vl-4b-reasoning,7.9
alibaba/qwen3-vl-8b-instruct,8.4
alibaba/qwen3-vl-8b-reasoning,10.6
alibaba/qwq-32b,13.4
anthropic/claude-2,3.6
anthropic/claude-21,3.9
anthropic/claude-3-5-haiku,12.3
anthropic/claude-3-7-sonnet,23.5
anthropic/claude-3-7-sonnet-thinking,27.1
anthropic/claude-3-haiku,3.9
anthropic/claude-3-opus,11.8
anthropic/claude-3-sonnet,4.7
anthropic/claude-35-sonnet,9.9
anthropic/claude-35-sonnet-june-24,8.3
anthropic/claude-4-1-opus,28.2
anthropic/claude-4-1-opus-thinking,33.7
anthropic/claude-4-5-haiku,23.7
anthropic/claude-4-5-haiku-reasoning,29.6
anthropic/claude-4-5-sonnet,29.3
anthropic/claude-4-5-sonnet-thinking,36.4
anthropic/claude-4-opus,25.5
anthropic/claude-4-opus-thinking,31.0
anthropic/claude-4-sonnet,25.5
anthropic/claude-4-sonnet-thinking,28.9
anthropic/claude-fable-5,59.9
anthropic/claude-instant,2.1
anthropic/claude-opus-4-5,34.7
anthropic/claude-opus-4-5-thinking,40.8
anthropic/claude-opus-4-6,37.8
anthropic/claude-opus-4-6-adaptive,43.7
anthropic/claude-opus-4-7,53.5
anthropic/claude-opus-4-7-non-reasoning,42.7
anthropic/claude-opus-4-8,55.7
anthropic/claude-sonnet-4-6,35.9
anthropic/claude-sonnet-4-6-adaptive,47.2
anthropic/claude-sonnet-4-6-non-reasoning-low-effort,34.3
anthropic/claude-sonnet-5,53.4
anthropic/claude-sonnet-5-non-reasoning,41.7
arcee/trinity-large-thinking,24.5
aws/nova-2-0-lite,11.8
aws/nova-2-0-lite-reasoning,18.2
aws/nova-2-0-lite-reasoning-low,17.8
aws/nova-2-0-lite-reasoning-medium,19.0
aws/nova-2-0-omni,10.5
aws/nova-2-0-omni-reasoning-low,16.6
aws/nova-2-0-omni-reasoning-medium,20.9
aws/nova-2-0-pro,14.4
aws/nova-2-0-pro-reasoning-low,19.6
aws/nova-2-0-pro-reasoning-medium,21.8
aws/nova-lite,6.9
aws/nova-micro,4.7
aws/nova-premier,12.7
aws/nova-pro,7.7
azure/phi-3-mini,4.6
azure/phi-4,4.9
azure/phi-4-mini,6.0
azure/phi-4-multimodal,4.5
baidu/ernie-4-5-300b-a47b,9.0
baidu/ernie-5-0-thinking-preview,21.9
bytedance_seed/doubao-seed-code,26.0
bytedance_seed/seed-oss-36b-instruct,18.3
china-mobile/jt-35b-flash,28.4
china-mobile/jt-mini,18.5
cohere/command-a,7.7
cohere/command-a-plus,22.5
cohere/command-r-03-2024,2.1
cohere/command-r-plus-04-2024,3.0
cohere/north-mini-code,20.6
cohere/tiny-aya-global,1.0
databricks/dbrx,3.0
deepseek/deepseek-coder-v2,5.1
deepseek/deepseek-coder-v2-lite,3.1
deepseek/deepseek-llm-67b-chat,3.0
deepseek/deepseek-r1,20.1
deepseek/deepseek-r1-0120,18.5
deepseek/deepseek-r1-distill-llama-70b,9.9
deepseek/deepseek-r1-distill-llama-8b,6.4
deepseek/deepseek-r1-distill-qwen-1-5b,3.7
deepseek/deepseek-r1-distill-qwen-14b,9.8
deepseek/deepseek-r1-distill-qwen-32b,11.0
deepseek/deepseek-r1-qwen3-8b,10.4
deepseek/deepseek-v2,3.6
deepseek/deepseek-v2-5,6.8
deepseek/deepseek-v2-5-sep-2024,6.6
deepseek/deepseek-v3,14.2
deepseek/deepseek-v3-0324,15.4
deepseek/deepseek-v3-1,21.0
deepseek/deepseek-v3-1-reasoning,20.7
deepseek/deepseek-v3-1-terminus,21.4
deepseek/deepseek-v3-1-terminus-reasoning,26.3
deepseek/deepseek-v3-2,24.7
deepseek/deepseek-v3-2-0925,21.3
deepseek/deepseek-v3-2-reasoning,33.4
deepseek/deepseek-v3-2-reasoning-0925,25.4
deepseek/deepseek-v3-2-speciale,22.2
deepseek/deepseek-v4-flash,40.3
deepseek/deepseek-v4-flash-high,37.4
deepseek/deepseek-v4-flash-non-reasoning,28.7
deepseek/deepseek-v4-pro,44.3
deepseek/deepseek-v4-pro-high,40.8
deepseek/deepseek-v4-pro-non-reasoning,31.2
google/diffusiongemma-26b-a4b,13.5
google/gemini-1-0-pro,3.1
google/gemini-1-0-ultra,4.6
google/gemini-1-5-flash,8.0
google/gemini-1-5-flash-8b,5.5
google/gemini-1-5-flash-may-2024,4.9
google/gemini-1-5-pro,10.0
google/gemini-1-5-pro-may-2024,6.3
google/gemini-2-0-flash,12.3
google/gemini-2-0-flash-experimental,10.7
google/gemini-2-0-flash-lite-001,8.8
google/gemini-2-0-flash-lite-preview,8.6
google/gemini-2-0-flash-thinking-exp-0121,13.3
google/gemini-2-0-flash-thinking-exp-1219,6.6
google/gemini-2-0-pro-experimental-02-05,11.8
google/gemini-2-5-flash,14.1
google/gemini-2-5-flash-04-2025,11.7
google/gemini-2-5-flash-lite,6.9
google/gemini-2-5-flash-lite-preview-09-2025,13.1
google/gemini-2-5-flash-lite-preview-09-2025-reasoning,15.1
google/gemini-2-5-flash-lite-reasoning,11.4
google/gemini-2-5-flash-preview-09-2025,18.8
google/gemini-2-5-flash-preview-09-2025-reasoning,23.8
google/gemini-2-5-flash-reasoning,20.1
google/gemini-2-5-flash-reasoning-04-2025,17.5
google/gemini-2-5-pro,25.8
google/gemini-2-5-pro-03-25,23.0
google/gemini-2-5-pro-05-06,22.3
google/gemini-3-1-flash-lite-preview,25.0
google/gemini-3-1-pro-preview,46.5
google/gemini-3-5-flash,50.2
google/gemini-3-5-flash-medium,45.4
google/gemini-3-5-flash-minimal,34.9
google/gemini-3-flash,27.4
google/gemini-3-flash-reasoning,37.8
google/gemini-3-pro,39.6
google/gemini-3-pro-low,33.1
google/gemma-3-12b,5.5
google/gemma-3-1b,1.0
google/gemma-3-270m,2.4
google/gemma-3-27b,7.4
google/gemma-3-4b,1.1
google/gemma-3n-e2b,1.0
google/gemma-3n-e4b,1.2
google/gemma-3n-e4b-preview-0520,4.6
google/gemma-4-12b,22.0
google/gemma-4-12b-non-reasoning,13.2
google/gemma-4-26b-a4b,25.7
google/gemma-4-26b-a4b-non-reasoning,20.1
google/gemma-4-31b,29.4
google/gemma-4-31b-non-reasoning,24.8
google/gemma-4-e2b,9.3
google/gemma-4-e2b-non-reasoning,6.4
google/gemma-4-e4b,12.5
google/gemma-4-e4b-non-reasoning,8.9
google/palm-2,3.2
ibm/granite-3-3-8b-instruct,1.8
ibm/granite-4-0-350m,1.0
ibm/granite-4-0-h-350m,1.0
ibm/granite-4-0-h-nano-1b,2.7
