name,ttft,tps
openai/gpt-oss-120b,1602,148.6
nvidia/nemotron-3-nano-30b-a3b,1500,64.3
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,9760,51.8
stepfun-ai/step-3.5-flash,3287,16.0
stepfun-ai/step-3.7-flash,16856,4.2
openai/gpt-oss-20b,3154,30.1
mistralai/mistral-small-4-119b-2603,1471,110.0
nvidia/nvidia-nemotron-nano-9b-v2,6428,5.5
nvidia/nemotron-3-ultra-550b-a55b,5586,11.6
sarvamai/sarvam-m,1665,32.6
google/diffusiongemma-26b-a4b-it,-,-
minimaxai/minimax-m2.7,14759,40.6
abacusai/dracarys-llama-3.1-70b-instruct,1285,19.4
bytedance/seed-oss-36b-instruct,213676,2.5
deepseek-ai/deepseek-v4-flash,2571,5.8
deepseek-ai/deepseek-v4-pro,5665,5.7
google/gemma-2-2b-it,945,111.6
google/gemma-3n-e2b-it,-,-
google/gemma-3n-e4b-it,-,-
google/gemma-4-31b-it,2988,3.3
meta/llama-3.1-70b-instruct,1160,18.7
meta/llama-3.1-8b-instruct,703,119.7
meta/llama-3.2-1b-instruct,-,-
meta/llama-3.2-3b-instruct,-,-
meta/llama-3.3-70b-instruct,-,-
meta/llama-4-maverick-17b-128e-instruct,887,51.0
microsoft/phi-4-mini-instruct,-,-
minimaxai/minimax-m3,-,-
mistralai/ministral-14b-instruct-2512,879,79.3
mistralai/mistral-large-3-675b-instruct-2512,939,122.7
mistralai/mistral-medium-3.5-128b,31347,46.8
mistralai/mistral-nemotron,1534,49.8
mistralai/mixtral-8x7b-instruct-v0.1,3944,28.1
moonshotai/kimi-k2.6,-,-
nvidia/llama-3.1-nemotron-nano-8b-v1,-,-
nvidia/llama-3.3-nemotron-super-49b-v1,4219,1.7
nvidia/llama-3.3-nemotron-super-49b-v1.5,24262,3.0
nvidia/nemotron-3-super-120b-a12b,15881,26.4
nvidia/nemotron-mini-4b-instruct,1096,102.0
qwen/qwen3-next-80b-a3b-instruct,12506,1.4
qwen/qwen3.5-122b-a10b,11867,2.4
qwen/qwen3.5-397b-a17b,23354,1.5
stockmark/stockmark-2-100b-instruct,942,25.4
upstage/solar-10.7b-instruct,912,33.7
z-ai/glm-5.2,-,-
