Model,Provider,Intelligence,Latency,TPS
abacusai/dracarys-llama-3.1-70b-instruct,nvidia,7,-,-
bytedance/seed-oss-36b-instruct,nvidia,19,-,-
deepseek-ai/deepseek-v4-flash,nvidia,41,2,23
deepseek-ai/deepseek-v4-pro,nvidia,45,-,-
google/gemma-4-31b-it,nvidia,30,-,-
meta/llama-3.1-70b-instruct,nvidia,7,-,-
meta/llama-3.1-8b-instruct,nvidia,8,0,138
meta/llama-3.3-70b-instruct,nvidia,10,-,-
meta/llama-4-maverick-17b-128e-instruct,nvidia,15,0,101
minimaxai/minimax-m2.7,nvidia,39,-,-
minimaxai/minimax-m3,nvidia,45,-,-
mistralai/ministral-14b-instruct-2512,nvidia,12,-,-
mistralai/mistral-large-3-675b-instruct-2512,nvidia,16,-,-
mistralai/mistral-medium-3.5-128b,nvidia,30,-,-
mistralai/mistral-nemotron,nvidia,13,0,61
mistralai/mistral-small-4-119b-2603,nvidia,20,0,87
mistralai/mixtral-8x7b-instruct-v0.1,nvidia,3,0,20
nvidia/llama-3.1-nemotron-nano-8b-v1,nvidia,9,-,-
nvidia/llama-3.1-nemotron-nano-vl-8b-v1,nvidia,9,0,44
nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,9,0,23
nvidia/llama-3.3-nemotron-super-49b-v1.5,nvidia,9,-,-
nvidia/nemotron-3-nano-30b-a3b,nvidia,8,3,138
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,nvidia,15,3,341
nvidia/nemotron-3-super-120b-a12b,nvidia,26,1,224
nvidia/nemotron-3-ultra-550b-a55b,nvidia,38,4,64
nvidia/nemotron-mini-4b-instruct,nvidia,5,-,-
nvidia/nemotron-nano-12b-v2-vl,nvidia,5,-,-
nvidia/nvidia-nemotron-nano-9b-v2,nvidia,8,-,-
openai/gpt-oss-120b,nvidia,24,-,-
openai/gpt-oss-20b,nvidia,15,1,220
poolside/laguna-xs-2.1,nvidia,15,0,172
qwen/qwen3-next-80b-a3b-instruct,nvidia,14,-,-
qwen/qwen3.5-397b-a17b,nvidia,34,-,-
sarvamai/sarvam-m,nvidia,3,0,34
stepfun-ai/step-3.5-flash,nvidia,26,-,-
stepfun-ai/step-3.7-flash,nvidia,31,-,-
thinkingmachines/inkling,nvidia,41,1,102
upstage/solar-10.7b-instruct,nvidia,2,-,-
z-ai/glm-5.2,nvidia,52,-,-
cohere/north-mini-code:free,openrouter,20,2,153
google/gemma-4-26b-a4b-it:free,openrouter,26,0,17
google/gemma-4-31b-it:free,openrouter,30,-,-
inclusionai/ling-3.0-flash,openrouter,,-,-
nvidia/nemotron-3-nano-30b-a3b:free,openrouter,8,-,-
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,openrouter,15,2,208
nvidia/nemotron-3-super-120b-a12b:free,openrouter,26,-,-
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38,5,88
nvidia/nemotron-nano-12b-v2-vl:free,openrouter,9,-,-
nvidia/nemotron-nano-9b-v2:free,openrouter,9,-,-
openai/gpt-oss-20b:free,openrouter,15,5,108
poolside/laguna-m.1:free,openrouter,22,-,-
poolside/laguna-s-2.1:free,openrouter,40,-,-
poolside/laguna-xs-2.1:free,openrouter,15,-,-
gemini-3.1-flash-lite,google,25,0,569
gemma-4-26b-a4b-it,google,26,-,-
gemma-4-31b-it,google,30,0,30
codestral-2508,mistral,11,0,181
codestral-latest,mistral,11,0,190
devstral-2512,mistral,20,0,16
devstral-latest,mistral,20,0,198
devstral-medium-latest,mistral,13,0,322
labs-leanstral-1-5,mistral,13,-,-
labs-leanstral-1-5-1,mistral,13,-,-
magistral-medium-2509,mistral,18,0,49
magistral-medium-latest,mistral,13,0,49
magistral-small-2509,mistral,12,0,46
magistral-small-latest,mistral,11,0,274
ministral-14b-2512,mistral,12,0,84
ministral-14b-latest,mistral,12,0,70
ministral-3b-2512,mistral,7,0,377
ministral-3b-latest,mistral,7,0,392
ministral-8b-2512,mistral,9,0,173
ministral-8b-latest,mistral,9,0,181
mistral-code-agent-latest,mistral,19,0,449
mistral-code-latest,mistral,15,0,159
mistral-large-2512,mistral,16,0,124
mistral-large-latest,mistral,16,0,127
mistral-medium,mistral,4,-,-
mistral-medium-2505,mistral,4,0,59
mistral-medium-2508,mistral,4,0,189
mistral-medium-2604,mistral,4,-,-
mistral-medium-3,mistral,13,0,230
mistral-medium-3-5,mistral,30,-,-
mistral-medium-3.5,mistral,30,-,-
mistral-medium-latest,mistral,4,-,-
mistral-small-2506,mistral,5,0,190
mistral-small-2603,mistral,20,0,267
mistral-small-latest,mistral,20,0,268
mistral-tiny-2407,mistral,4,0,50
mistral-tiny-latest,mistral,6,0,36
mistral-vibe-cli-fast,mistral,13,0,272
mistral-vibe-cli-latest,mistral,21,0,64
mistral-vibe-cli-with-tools,mistral,19,0,125
big-pickle,opencode,34,4,87
deepseek-v4-flash-free,opencode,41,0,354
laguna-s-2.1-free,opencode,40,-,-
mimo-v2.5-free,opencode,43,3,80
nemotron-3-ultra-free,opencode,38,-,-
north-mini-code-free,opencode,20,-,-
poolside/laguna-s-2.1:free,nous,,-,-
poolside/laguna-xs-2.1:free,nous,,-,-
stepfun/step-3.7-flash:free,nous,31,6,255
tencent/hy3:free,nous,42,-,-
