Model,Provider,Intelligence,Latency,TPS
codestral-2508,mistral,11,0,205
codestral-latest,mistral,11,0,194
devstral-2512,mistral,20,0,463
devstral-latest,mistral,20,0,393
devstral-medium-latest,mistral,13,-,-
labs-leanstral-1-5,mistral,13,-,-
labs-leanstral-1-5-1,mistral,13,-,-
magistral-medium-2509,mistral,18,0,46
magistral-medium-latest,mistral,13,0,50
magistral-small-2509,mistral,12,0,34
magistral-small-latest,mistral,11,0,288
ministral-14b-2512,mistral,12,0,51
ministral-14b-latest,mistral,12,0,88
ministral-3b-2512,mistral,7,0,277
ministral-3b-latest,mistral,7,0,289
ministral-8b-2512,mistral,9,0,189
ministral-8b-latest,mistral,9,0,112
mistral-code-agent-latest,mistral,19,0,389
mistral-code-latest,mistral,15,0,203
mistral-large-2512,mistral,16,0,126
mistral-large-latest,mistral,16,0,125
mistral-medium,mistral,4,0,64
mistral-medium-2505,mistral,4,0,53
mistral-medium-2508,mistral,4,0,171
mistral-medium-2604,mistral,4,0,289
mistral-medium-3,mistral,13,0,59
mistral-medium-3-5,mistral,30,0,284
mistral-medium-3.5,mistral,30,0,296
mistral-medium-latest,mistral,4,0,58
mistral-small-2506,mistral,5,0,167
mistral-small-2603,mistral,20,0,131
mistral-small-latest,mistral,20,0,283
mistral-tiny-2407,mistral,4,0,21
mistral-tiny-latest,mistral,6,0,62
mistral-vibe-cli-fast,mistral,13,0,271
mistral-vibe-cli-latest,mistral,21,0,290
mistral-vibe-cli-with-tools,mistral,19,0,51
